Experience made the : 2022-15-11--09-50-51
Pos X; Pos Y; Pos Z; Timer; Is Touched; Speed
0,1800303; -0,01057346; 0,01793965; 0,02; Missed; 0
0,1800303; -0,01057346; 0,01793965; 0,04; Missed; 0
0,1800303; -0,01057346; 0,01793965; 0,8900961; Missed; 0
0,1800303; -0,01057346; 0,01793965; 0,9494236; Missed; 0
0,1800303; -0,01057346; 0,01793965; 0,9785665; Missed; 0
0,1800303; -0,01057346; 0,01793965; 0,9882947; Missed; 0
0,1800303; -0,01057346; 0,01793965; 0,9960549; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,004854; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,01309; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,021366; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,029327; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,038395; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,046038; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,054594; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,062884; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,070911; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,079276; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,088385; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,096742; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,104482; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,112881; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,121132; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,129403; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,137495; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,145936; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,154291; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,162762; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,170829; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,179471; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,187758; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,196367; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,205673; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,213226; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,221288; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,229832; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,238158; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,246418; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,254887; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,263408; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,272119; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,281083; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,28815; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,296936; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,304976; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,314366; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,32138; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,329994; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,339575; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,347113; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,354975; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,363422; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,371663; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,379425; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,388088; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,395937; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,404399; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,412483; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,421274; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,429633; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,438074; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,446005; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,454439; Missed; 0
0,1800303; -0,01057346; 0,01793965; 1,46296; Missed; 0
